RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
9,0,California,state,,200355,201206,202278,204532,206949,209464,212077,214846,217631,220271,222915,225511,227595,229752,232218,235325,238197,240692,243054,245415,247766,249984,252077,254049,255566,257238,259211,261931,264974,268301,272209,276366,280515,284408,288279,292121,295374,298438,301784,305747,310084,313800,317956,322391,327475,332234,336803,341244,345978,351402,357527,364510,372573,381484,390279,398488,406306,413939,420382,426912,432531,439142,445974,453848,461062,467576,473894,480459,487031,493430,498143,502520,506058,509337,512567,515392,518330,520006,520278,520014,518438,517088,515684,514580,513716,512547,510778,508564,504877,500984,495817,490772,484888,478826,472840,466263,459943,451972,442416,431307,419923,409335,398396,388097,378736,370893,362816,355111,348021,343574,339552,335514,331560,328310,326112,324153,322682,322171,323891,326494,328648,329028,330222,331702,333282,332569,330867,328438,326316,324002,322103,320932,319979,318947,317125,315374,312470,310672,309013,307019,304562,302062,301407,300824,300613,300359,300501,301200,302446,304222,306255,308568,311170,314678,318559,323979,329509,335903,342413,349439,356511,363935,371000,377542,383321,388759,394275,399505,404866,409472,411929,412848,413181,413724,414185,413983,414670,416285,419014,421471,424074,426855,429886,432012,434290,435928,436598,437896,440098,443855,446856,450972,454822,458199,459961,462255,464473,466827,467443,469038,470867,474454,477301,479847,482741,485721,488691,491165,494107,497428,498966,500668,503014,507173,511450,515702,520390,525473,529836,533242,535972,538711,540440,541838,542733,544481,545543,545399,544772,543893,543721,544449,545495,546384,546346,546765,547836,549779,551218,553245,555821,559771,564325,567733,567631,566558,568812,575500,584052,592316,599927,606818,613024,620092,627911,638155,652414,669583,688115,701766,711551,716523,721970,728720,738849,750885,765768,780145,790993,793301,790125,781014,773720,767550,764278,760644
54,1,Texas,state,,114264,114388,114427,114635,114684,114756,114760,114977,115229,115491,115824,116204,116440,116397,116190,116110,116204,116340,116464,116554,116661,116785,116857,116926,116993,117192,117554,118020,118479,118977,119457,119975,120388,120741,121045,121310,121566,121761,122017,122238,122455,122654,122843,123084,123276,123492,123619,123745,124286,,,128460,129415,129880,130443,130943,131580,132127,132610,133031,133612,134115,134617,135000,135397,135803,136119,136419,136723,136932,137234,137427,137654,137950,138339,138863,139493,140120,140714,141207,141780,142541,143197,143857,144083,144184,144180,144561,145053,145613,146034,146522,146983,147392,147707,148011,147610,147088,146442,146310,146143,145942,145779,145308,144691,144003,143383,142823,142301,142159,142166,142252,142282,142241,142261,142050,141841,141574,141706,141849,141848,141818,141906,142211,142450,142422,142026,141396,140738,140116,139480,138967,138512,138046,137629,137247,136954,136584,136438,136313,136262,136077,135794,135503,135416,135666,136114,136518,136944,137357,137858,138218,138427,138590,138953,139466,140153,140891,141801,142748,143688,144625,145577,146469,147391,148385,149441,150400,151332,152339,153268,154112,154961,155947,156835,157674,158456,159344,160353,161457,162613,163781,164975,166147,167241,168339,169340,170160,170883,171775,172730,173804,174877,175916,176829,177735,178792,179819,180815,181583,182408,183274,184487,185853,187062,188223,189121,190091,190889,191752,192434,193134,193901,194886,195932,196959,197960,198966,200006,201081,202082,203072,203921,204892,205740,206678,207507,208492,209643,210724,211457,211898,212317,212797,213305,213940,214716,215166,215552,215762,216363,216905,217685,218363,218940,219508,220316,221710,223633,225890,228158,230336,232608,235390,238348,242003,246344,251788,257451,263131,267990,272268,275909,280178,284848,290297,295719,301771,307238,311937,314405,315302,315316,315821,316118,315451
14,2,Florida,state,,114893,115232,115590,116287,116949,117608,118256,118923,119603,120296,121027,121790,122552,123354,124204,125127,126087,127081,128160,129303,130463,131613,132695,133776,134808,135795,136782,137845,138978,140150,141328,142618,143838,145066,146207,147527,148869,150286,151732,153293,154885,156432,157958,159546,161191,162844,164446,165969,167519,169091,170871,172827,175116,177698,180544,183675,186738,189613,192281,195114,198129,201406,205130,209491,214259,219406,224868,230440,235744,240480,244861,248990,252885,256508,260450,264833,268780,271899,273785,274983,275210,274848,274219,273159,271979,270793,269425,267842,265705,263107,260015,256689,253346,249914,246282,242634,238540,234660,230396,226428,221996,217878,213585,209086,204538,199935,195450,191207,187227,183795,180482,177119,173912,170897,168457,166119,163976,162229,161229,160389,159720,159099,158729,158363,157813,156964,155819,154429,152970,151464,149952,148545,147096,145759,144349,143029,141694,140551,139495,138734,138172,137913,137794,137744,137807,137912,138224,138612,139080,139574,140228,141017,141984,143113,144293,145655,147210,148923,150598,152159,153908,155599,157545,159554,161772,163882,165933,167880,169664,171194,172489,173427,174333,175062,175901,176491,177302,178435,179620,180881,181970,183142,184073,184948,185870,186897,187874,189023,190300,191678,192959,194452,195937,197469,198600,199822,200934,202243,203540,204833,205993,207142,208485,209912,211228,212364,213418,214778,216105,217458,218588,219881,221134,222446,223693,225092,226143,227289,228541,230045,231542,232848,234074,235189,236291,237400,238662,240000,241241,242050,242607,243097,243519,244009,244541,244916,245217,245658,246363,247076,248105,249406,250954,252390,253568,254463,255242,256778,258866,261381,263961,266645,269773,272884,276563,280540,285931,292730,300617,308609,316451,323781,331043,337803,345305,353177,362814,373422,384076,393059,399234,402765,404269,404750,405227,404939
43,3,New York,state,,150079,150847,151488,152843,154067,155324,156348,157197,157940,158790,159921,161134,162295,163260,164215,165235,166325,167481,168664,169882,171027,172252,173544,174941,176338,177620,178718,179846,181034,182413,183845,185450,187044,188589,190077,191677,193256,194851,196653,198345,200056,201686,203432,205459,207612,209761,211493,213071,214724,216330,217639,219019,220695,222752,224989,227189,229524,231730,234004,236129,238203,240259,242110,244148,246318,248536,250911,253383,255980,258562,260762,263057,264978,266780,268187,269396,270581,271859,273027,274046,274565,274950,275098,275364,275553,275706,275989,276002,276241,276163,276226,276310,276279,276523,276682,276702,276701,276429,276220,275740,275009,274081,272882,271675,270311,268629,266842,265212,263722,262480,261359,260424,259533,258506,257464,256323,255456,254806,254430,254153,253929,253961,254041,254521,254907,255482,255718,255418,254668,253497,252441,251382,250755,250239,249955,249416,248884,248030,247302,246592,245957,245298,244556,243987,243472,242940,242567,242462,242678,242953,243128,243222,243230,243105,243121,243275,243538,244045,244559,245468,246384,247413,248276,248912,249474,250104,250781,251378,251984,252615,253399,254192,254928,255564,255944,256268,256545,256843,257146,257570,257944,258237,258416,258893,259518,260333,261096,261762,262353,262773,263211,263508,263804,264343,265113,266084,267051,267910,268693,269500,270266,271147,272104,273244,274330,275090,275824,276778,278154,279790,281268,282604,283806,285060,286384,287561,288907,290309,291859,293279,294573,295804,297108,298504,299978,301303,302562,303687,304824,305906,307133,308103,308944,309433,309744,309920,310010,310165,310574,311278,312228,313313,314295,315224,315684,316219,317322,319165,321845,325217,328929,332578,335895,339213,342461,345683,349774,354725,360373,365220,369267,372330,375221,378081,381385,385176,389939,394897,400006,404130,407183,409014,410000,411138,412274,413443
47,4,Pennsylvania,state,,106237,106597,106887,107453,107943,108389,108840,109233,109649,110045,110530,111036,111541,112029,112560,113137,113624,114096,114593,115140,115676,116150,116670,117157,117668,118210,118806,119466,120141,120850,121631,122511,123397,124253,124946,125653,126344,127090,127807,128590,129549,130668,131838,132895,133941,134920,135795,136577,137277,138217,139132,140179,141397,142801,144427,145887,147362,148564,149887,151171,152538,153528,154567,155760,157257,158958,160721,162539,164165,165624,166963,168230,169320,170257,171167,172184,173360,174637,175736,176550,177055,177474,177807,178093,178411,178824,179359,179795,180235,180527,180906,181108,181162,181204,181300,181348,181210,181151,181034,180969,180667,180257,179516,178611,177718,177000,176291,175483,174675,174252,174084,173953,173635,173230,172819,172312,171867,171605,171620,171751,172063,172451,173001,173469,173711,173644,173235,172612,171736,170768,169730,168804,168026,167415,166960,166396,165744,164891,164111,163507,163102,162735,162330,161939,161611,161373,161275,161304,161385,161336,161157,160952,160762,160641,160563,160605,160767,161036,161389,161853,162327,162819,163254,163539,163778,163901,164121,164291,164540,164823,165121,165334,165501,165746,165984,166104,166103,166089,166141,166321,166482,166649,166953,167459,168051,168384,168511,168626,168835,169114,169367,169632,170036,170611,171014,171353,171533,171986,172389,172874,173212,173611,174073,174814,175326,175790,176258,177051,177895,178576,179175,179789,180503,181312,182057,182871,183780,184721,186004,187115,188197,188776,189327,189849,190483,191119,191892,192689,193546,194301,194854,195281,195819,196421,197068,197655,198204,198831,199472,200196,200901,201556,202328,203100,203608,204265,205397,,209503,,214732,217480,220258,222716,225230,227921,231501,235372,238843,241632,243797,245789,247660,249901,252439,255221,257852,260470,262868,264997,266491,267483,268343,269642,271122,272422
21,5,Illinois,state,,145304,145623,146056,146908,147786,148641,149582,150676,151805,152924,153940,154904,155805,156612,157557,158469,159575,160601,161678,162772,163930,165110,166131,166987,167773,168649,169758,170685,171698,172587,173767,175013,176247,177396,178237,179200,180125,181239,182250,183400,184398,185324,186213,187395,188742,190026,191081,192013,193113,194210,195358,196637,198051,199615,201045,202464,203670,204914,206170,207592,208878,210201,211503,212993,214543,216067,217519,218953,220561,222104,223440,224723,226027,227293,228553,229617,230776,231479,232075,232536,232901,233082,233188,233429,233946,234382,234660,234651,234493,234199,233741,233252,232487,231726,230955,229979,228946,,,223801,,221123,220235,217492,215725,212752,210367,207250,203977,201641,199188,197988,196120,194863,193593,192403,190489,188750,187093,186552,185654,185313,184080,184513,183956,184576,182592,181458,179306,177906,175618,173610,171838,170465,169514,168148,167370,166096,165602,164441,163447,161497,160285,158490,157602,155955,155755,155439,155741,155649,155061,154437,153663,153905,154210,154464,154982,155764,156515,157472,158319,159753,160896,162339,163495,165037,165746,166701,167274,168332,168910,169264,169838,170690,171387,171618,171905,172133,172536,172960,173352,173834,174540,175462,176218,176337,176455,176373,176442,176459,176631,177213,178015,179452,180594,181466,181894,182234,182701,183037,183408,183875,184707,185840,187187,188403,189665,190617,191359,191603,191843,192124,192707,193358,194166,195161,196298,197321,197970,198351,198693,198967,199266,199452,199918,200321,200894,201368,201758,202353,202780,203238,203349,203374,203396,203426,203441,203384,203388,203590,203990,204426,204835,204997,204904,204903,205630,206909,209068,211214,213433,215272,216724,218751,220621,223107,225393,228510,231925,235279,237781,239986,242216,244686,247004,249337,251975,254785,257928,260568,262412,263140,263689,264415,264854,264622
44,6,Ohio,state,,111248,111413,111587,112040,112588,113178,113676,114139,114602,115055,115514,115969,116406,116780,117169,117560,117940,118260,118611,118995,119377,119742,120068,120380,120650,120914,121199,121487,121790,122086,122417,122738,123060,123393,123756,124128,124470,124825,125159,125518,125861,126256,126684,127188,127680,128157,128527,128880,129181,129556,129945,130320,130683,131031,131417,131738,132055,132356,132683,132993,133357,133755,134160,134534,134845,135176,135470,135801,136097,136402,136695,136950,137143,137292,137435,137602,137773,137917,138039,138091,138072,138002,137857,137660,137475,137380,137202,137023,136822,136663,136413,136128,135947,135689,135215,134660,134104,133599,133212,132876,132634,132315,132016,131611,131131,130470,129844,129040,128133,127172,126392,125948,125672,125400,125004,124574,124203,123959,123643,123359,123060,123013,122951,123012,123012,122960,122632,122197,121633,121014,120253,119420,118670,117966,117461,116912,116417,115944,115666,115443,115165,114793,114398,114043,113585,113146,112893,112852,112833,112778,112761,112804,112851,112855,112810,112786,112813,112944,113092,113398,113856,114467,115032,115481,115755,116076,116383,116642,116605,116510,116433,116555,116804,117153,117508,117639,117757,117772,118012,118343,118868,119436,119994,120522,121097,121631,122115,122485,122799,123072,123392,123702,124128,124558,125158,125761,126306,126758,127180,127631,128107,128601,129190,129866,130608,131357,132129,132963,133753,134452,135012,135661,136368,137185,137913,138623,139147,139858,140704,141798,142820,143639,144386,144919,145437,145951,146625,147368,148250,149127,150025,150654,151347,151956,152618,153124,153732,154313,154770,155286,156024,156884,157790,158655,159577,160474,161460,162811,164330,166096,168168,170139,172428,174526,177021,179384,181934,184581,187210,189545,191618,193351,195078,197178,199505,202117,204420,207013,209292,211550,213035,214336,215280,216141,216758,217283
16,7,Georgia,state,,131932,132377,132820,133708,134555,135388,136191,137056,137935,138871,139792,140810,141814,142674,143427,144103,144854,145542,146214,146902,147587,148273,148877,149457,149971,150531,151044,151579,152070,152547,152964,153367,153799,154272,154680,155016,155339,155680,156081,156433,156742,157004,157263,157621,157996,158373,158691,159057,159380,159755,160123,160618,161098,161539,161945,162453,163007,163607,164090,164519,164852,165204,165588,166146,166811,167545,168176,168792,169412,170029,170620,171162,171724,172300,172834,173367,173859,174427,175018,175625,176129,176567,176853,177241,177573,177974,178339,178741,179052,179230,179279,179279,179081,178787,178255,177789,176988,176165,175158,174430,173705,172909,171904,170743,169538,168161,166345,164174,162100,160375,158854,157142,155399,153814,152590,151551,150507,149421,148453,147686,146891,146246,145757,145626,145442,145088,144155,142948,141335,139959,138447,137115,135729,134686,133556,132215,130553,129064,127914,127210,126746,126354,125951,125148,124579,124054,124269,124488,124867,125271,125796,126138,126236,126396,126966,127732,128777,129872,131065,132110,133246,134468,135733,137096,138493,139911,141171,142494,143674,144808,145777,146742,147645,148445,149229,149882,150566,151201,151929,152660,153389,154047,154668,155424,156369,157317,158044,158670,159299,159935,160648,161425,162345,163221,164193,165221,166192,166923,167490,167968,168410,169062,169888,170965,171832,172759,173595,174551,175495,176508,177624,178672,180043,181356,182826,184294,185794,187275,188483,189744,190988,192221,193464,194669,195957,197229,198469,199673,200689,201701,202794,203908,204860,205453,206082,206824,207706,208492,208977,209569,210230,211397,212413,213442,214135,214985,216120,217644,219545,221732,224256,226923,229863,233066,236436,240149,244413,249558,255078,260664,265986,271437,276905,283197,289354,295499,301019,306782,312099,317067,320294,322506,323421,324046,324647,324799
36,8,North Carolina,state,,135102,135433,135717,136305,136858,137400,137889,138330,138762,139243,139821,140435,141086,141536,141935,142219,142569,142882,143157,143494,143819,144198,144447,144689,144904,145120,145347,145479,145696,145881,146153,146384,146615,146845,147055,147294,147537,147783,148025,148218,148434,148624,148867,149172,149482,149786,150047,150374,150715,151081,151402,151746,152056,152449,152835,153257,153708,154207,154717,155222,155575,156028,156434,157044,157647,158419,159240,160130,160959,161845,162642,163428,164143,164869,165676,166535,167476,168381,169313,170274,171179,171987,172627,173221,173857,174445,175152,175857,176637,177355,177938,178475,178862,179163,179372,179486,179559,179590,179664,179677,179573,179239,178750,178233,177699,177163,176436,175582,174671,174102,173638,173103,172343,171526,170757,169839,169071,168456,168085,167652,167257,166802,166488,166397,166373,166184,165616,164909,164150,163437,162692,161983,161229,160549,159829,159045,158310,157659,157097,156488,155979,155338,154727,154144,153735,153474,153369,153506,153517,153382,153204,153206,153194,153215,153242,153319,153485,153719,154170,154629,155148,155611,156076,156543,156951,157425,157846,158430,158962,159579,160038,160410,160671,160852,160997,161053,161188,161358,161710,162092,162599,163158,163843,164421,164893,165334,165886,166511,167046,167528,167941,168336,168783,169332,169820,170431,171145,172043,172887,173683,174535,175395,176331,177305,178229,179064,179929,180863,181757,182546,183224,183999,184878,185978,187065,188208,189332,190527,191573,192490,193413,194416,195561,196636,197725,198683,199793,200871,201979,202929,203789,204712,205510,206321,207039,207768,208590,209558,210571,211507,212257,213226,214222,215328,216356,217385,218634,220108,221923,224000,226264,228779,,235467,239166,242661,246822,251866,257702,263853,269658,274880,279593,284843,290547,296742,302864,309355,315385,320772,324284,326662,327823,328847,329511,329634
30,9,Michigan,state,,121246,121449,121835,122522,123364,124163,125069,125905,126671,127384,128181,129037,129830,130453,131017,131544,132163,132713,133251,133809,134425,135039,135573,136087,136668,137193,137691,138048,138397,138757,139053,139400,139694,140103,140469,140868,141243,141620,141838,142099,142522,143054,143538,143992,144495,145107,145606,146100,146576,146972,147413,147704,148106,148473,148903,149310,149694,150138,150518,150907,151323,151633,151953,152203,152565,152804,152964,153173,153433,153700,153883,154072,154270,154438,154482,154372,154154,153859,153555,153195,152806,152359,151848,151218,150502,149818,149089,148394,147516,146769,145790,145034,143928,142896,141700,140743,139696,138430,136886,135121,133524,131978,130398,128394,126573,125088,123719,121907,119592,117358,115276,113625,112175,110838,109761,108630,107658,106470,105534,104663,104169,103579,103274,103185,103417,103659,103470,103024,102243,101461,100526,99691,98768,98053,97406,96817,96302,95792,95484,95373,95351,95283,95076,94840,94658,94552,94887,95301,95933,96579,97413,98139,98700,99310,99926,100470,101069,101974,103204,104509,105811,107153,108615,110046,111383,112491,113531,114616,115811,116930,117922,118845,119791,120830,121673,122220,122463,122680,123029,123423,123953,124595,125419,126264,126971,127613,128118,128562,128808,129019,129404,130075,130858,131688,132336,133351,134371,135441,136223,136836,137592,138365,139144,139910,140845,141941,143157,144433,145767,146870,147538,148083,148683,149407,150294,151229,152542,153983,155386,156656,157766,158856,159723,160472,161199,161908,162694,163653,164612,165617,166475,167343,168236,168979,169507,169686,170042,170423,171103,171687,172576,173525,174888,176116,176554,176345,176573,177980,180189,182646,185153,187640,189946,192397,194858,197185,199961,203336,206860,209966,212238,214415,216003,218074,220519,223327,226079,228810,231158,233092,233847,234299,234497,235109,235427,235649
