ID,Latitude,Longitude,City,State,Population,Zoo,Num of Zoos,Pet Shops,Num of Pet Shops,Light Rail,Num of Light Rails
22802,32.44874,-99.73314,Abilene,TX,121721,The Abilene Zoo,1.0,Petco,2.0,Monks Coffee,8.0
22803,32.96179,-96.82917,Addison,TX,15518,No zoo found,0.0,PetSmart,20.0,Starbucks,76.0
22804,26.18369,-98.12306,Alamo,TX,19246,No zoo found,0.0,PetSmart,5.0,Starbucks,7.0
22805,29.93245,-95.38021,Aldine,TX,15869,No zoo found,0.0,Stallion's Feed and Supply,12.0,Starbucks,37.0
22806,27.75225,-98.06972,Alice,TX,19408,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22807,29.71106,-95.59633,Alief,TX,98725,No zoo found,0.0,Petco,12.0,Starbucks,55.0
22808,33.10317,-96.67055,Allen,TX,98143,No zoo found,0.0,PetSmart,9.0,Starbucks,48.0
22809,26.28729,-98.31335,Alton,TX,15760,National Butterfly Center,1.0,PetSmart,4.0,Starbucks,7.0
22810,29.42385,-95.2441,Alvin,TX,25791,Bayou Safari Wildlife Park,2.0,Petco,3.0,Starbucks,4.0
22811,29.16941,-95.43188,Angleton,TX,19429,No zoo found,0.0,PetSmart,1.0,Starbucks,1.0
22812,32.73569,-97.10807,Arlington,TX,388125,No zoo found,0.0,PetSmart,4.0,Inclusion Coffee,19.0
22813,29.99883,-95.1766,Atascocita,TX,65844,No zoo found,0.0,Pet Ranch,8.0,Starbucks,20.0
22814,30.26715,-97.74306,Austin,TX,931830,No zoo found,0.0,Healthy Pet,19.0,My Name Is Joe Coffee,71.0
22815,32.72874,-96.62277,Balch Springs,TX,25210,No zoo found,0.0,PetSmart,3.0,Starbucks,6.0
22816,29.7355,-94.97743,Baytown,TX,76335,No zoo found,0.0,Petco,2.0,Starbucks,4.0
22817,30.08605,-94.10185,Beaumont,TX,118129,No zoo found,0.0,No BBQ found,0.0,Starbucks,2.0
22818,32.84402,-97.14307,Bedford,TX,49337,No zoo found,0.0,Petco,11.0,Starbucks,39.0
22819,29.70579,-95.45883,Bellaire,TX,18518,Houston Zoo,3.0,PetSmart,19.0,Starbucks,82.0
22820,31.05601,-97.46445,Belton,TX,20547,No zoo found,0.0,Petco,2.0,Starbucks,6.0
22821,32.67319,-97.46058,Benbrook,TX,22629,Fort Worth Zoo,1.0,Petco,6.0,Starbucks,18.0
22822,30.16688,-96.39774,Brenham,TX,16579,No zoo found,0.0,PetSmart,1.0,Max Donuts,2.0
22823,25.90175,-97.49748,Brownsville,TX,183887,Gladys Porter Zoo,1.0,PetSmart,1.0,Doña Elsa,2.0
22824,31.70932,-98.99116,Brownwood,TX,19031,No zoo found,0.0,No BBQ found,0.0,No Light Rail found,0.0
22825,30.51353,-97.73973,Brushy Creek,TX,21764,No zoo found,0.0,Woof Gang Bakery & Grooming Cedar Park,21.0,Starbucks,41.0
